年份,月份,分组,加权回报率
2012,12,1,0.176086044
2012,9,2,0.035109628
2012,10,2,-0.008356852
2012,11,2,-0.098545304
2012,12,2,0.185289422
2012,9,3,0.019354689
2012,10,3,0.000109783
2012,11,3,-0.124523998
2012,12,3,0.180105749
2012,9,4,0.00607979
2012,10,4,0.001941436
2012,11,4,-0.079924725
2012,12,4,0.189671094
2013,9,0,0.049993409
2013,10,0,-0.003527331
2013,11,0,0.059139353
2013,12,0,-0.017760348
2013,9,1,0.121673457
2013,10,1,-0.048470757
2013,11,1,0.054677371
2013,12,1,-0.031594619
2013,9,2,0.064019838
2013,10,2,-0.007351641
2013,11,2,0.069464361
2013,12,2,-0.016406211
2013,9,3,0.098103497
2013,10,3,-0.010542212
2013,11,3,0.096740683
2013,12,3,-0.02052555
2013,9,4,0.106493485
2013,10,4,-0.010418364
2013,11,4,0.090158289
2013,12,4,-0.008565666
2014,9,0,0.132087093
2014,10,0,0.01594711
2014,11,0,0.089303415
2014,12,0,0.122250794
2014,9,1,0.106686351
2014,10,1,0.024844619
2014,11,1,0.105257609
2014,12,1,0.091622899
2014,9,2,0.11001265
2014,10,2,0.012872402
2014,11,2,0.061162158
2014,12,2,-0.003758698
2014,9,3,0.127642357
2014,10,3,0.019690223
2014,11,3,0.080262884
2014,12,3,-0.006870143
2014,9,4,0.104855997
2014,10,4,0.008670433
2014,11,4,0.070567206
2014,12,4,-0.015238286
2015,9,0,-0.04578939
2015,10,0,0.218487566
2015,11,0,0.106595508
2015,12,0,0.109409169
2015,9,1,-0.031011443
2015,10,1,0.211154753
2015,11,1,0.104393296
2015,12,1,0.073624567
2015,9,2,-0.027281843
2015,10,2,0.210128082
2015,11,2,0.094509413
2015,12,2,0.073365207
2015,9,3,-0.008095661
2015,10,3,0.226394779
2015,11,3,0.143269203
2015,12,3,0.064328566
2015,9,4,-0.004356235
2015,10,4,0.221857183
2015,11,4,0.123281749
2015,12,4,0.074019867
2016,9,0,-0.003620905
2016,10,0,0.026540834
2016,11,0,0.042681296
2016,12,0,-0.059494963
2016,9,1,-0.010419713
2016,10,1,0.024074306
2016,11,1,0.021638908
2016,12,1,-0.052262172
2016,9,2,-0.004692606
2016,10,2,0.027882848
2016,11,2,0.026471809
2016,12,2,-0.051617933
2016,9,3,-0.016492922
2016,10,3,0.036366612
2016,11,3,0.023630934
2016,12,3,-0.064255741
2016,9,4,-0.003042205
2016,10,4,0.039051356
2016,11,4,0.033533755
2016,12,4,-0.038194643
2017,9,0,0.045476273
2017,10,0,0.006556389
2017,11,0,-0.027327747
2017,12,0,-0.006233233
2017,9,1,0.027399914
2017,10,1,0.026514578
2017,11,1,-0.013181477
2017,12,1,0.002563311
2017,9,2,0.03428468
2017,10,2,0.021338249
2017,11,2,-0.030666959
2017,12,2,0.010705061
2017,9,3,0.03632946
2017,10,3,0.010726436
2017,11,3,-0.048840617
2017,12,3,0.010475913
2017,9,4,0.038100915
2017,10,4,0.018677421
2017,11,4,-0.036013541
2017,12,4,0.007154256
2018,9,0,0.002352657
2018,10,0,-0.077667366
2018,11,0,0.060190877
2018,12,0,-0.051972046
2018,9,1,0.007323225
2018,10,1,-0.111364534
2018,11,1,0.030052054
2018,12,1,-0.067071719
2018,9,2,-0.000821681
2018,10,2,-0.092301338
2018,11,2,0.051293415
2018,12,2,-0.057451384
2018,9,3,-0.001002637
2018,10,3,-0.082681965
2018,11,3,0.045757493
2018,12,3,-0.028283801
2018,9,4,0.016095994
2018,10,4,-0.100886678
2018,11,4,0.032721753
2018,12,4,-0.02571006
2019,9,0,0.020394102
2019,10,0,0.01036337
2019,11,0,-0.004912935
2019,12,0,0.10461821
2019,9,1,0.028864797
2019,10,1,0.016896497
2019,11,1,-0.001052546
2019,12,1,0.085812133
2019,9,2,0.011373748
2019,10,2,0.036592443
2019,11,2,-0.016820715
2019,12,2,0.089495455
2019,9,3,0.039257637
2019,10,3,0.036790034
2019,11,3,0.000190532
2019,12,3,0.099433767
2019,9,4,0.019269668
2019,10,4,0.03250728
2019,11,4,-0.006647706
2019,12,4,0.070636725
2020,9,0,-0.076845583
